epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3593.04,1.4004,0.98107,1.4142,0.81597,0.8292,0.86643,0.54945,1.29494,0.79694,1.39784,0.0011882,0.0011882,0.0011882
43,3677.94,1.39439,0.96184,1.39995,0.84337,0.80649,0.87304,0.55228,1.32428,0.78079,1.42408,0.0011684,0.0011684,0.0011684
44,3762.98,1.40943,0.97139,1.41711,0.81983,0.82532,0.8769,0.56227,1.28143,0.83055,1.39204,0.0011486,0.0011486,0.0011486
45,3847.93,1.38363,0.94431,1.39702,0.82769,0.81169,0.87337,0.56563,1.29128,0.78438,1.39136,0.0011288,0.0011288,0.0011288
46,3933.09,1.38577,0.96305,1.39554,0.83665,0.78488,0.86721,0.56069,1.27972,0.81428,1.39736,0.001109,0.001109,0.001109
47,4018.14,1.37352,0.9287,1.38514,0.84075,0.81948,0.87437,0.55934,1.29242,0.80423,1.39668,0.0010892,0.0010892,0.0010892
48,4103.05,1.37432,0.93351,1.38722,0.79351,0.806,0.8505,0.55038,1.27492,0.87167,1.38974,0.0010694,0.0010694,0.0010694
49,4187.95,1.35875,0.92428,1.38055,0.8651,0.80371,0.88102,0.57548,1.26763,0.76498,1.37543,0.0010496,0.0010496,0.0010496
50,4273.09,1.34099,0.90304,1.36666,0.84496,0.79978,0.87915,0.57476,1.25284,0.76907,1.38547,0.0010298,0.0010298,0.0010298
51,4358,1.33895,0.89064,1.36287,0.84473,0.81558,0.88728,0.57268,1.27131,0.77427,1.37735,0.00101,0.00101,0.00101
52,4442.86,1.35203,0.91775,1.37245,0.86771,0.80926,0.89136,0.58147,1.25056,0.74657,1.35798,0.0009902,0.0009902,0.0009902
53,4528.12,1.33586,0.87897,1.36323,0.84323,0.81726,0.87743,0.56941,1.24776,0.7668,1.35829,0.0009704,0.0009704,0.0009704
54,4613.04,1.32715,0.89041,1.35126,0.84003,0.81364,0.87546,0.56965,1.26342,0.76781,1.38444,0.0009506,0.0009506,0.0009506
